@PartitionA
r1 , r2 , r3 , r4 , r5 , r6 , r7 , r8 , r9 , r10 , r11 , r12 , r13 , r14 , r15 , r16 , r17 , r18 , r19 , r20 , r21 , r22 , r23 , r24 , r25 , r26 , r27 , r28 , r29 , r30 , r31 , r32 , r33 , r34 , r35 , r36 , r37 , r38 , r39 , r40 , r41 , r42 , r43 , r44 , r45 , r46 , r47 , r48 , r49 , r50 , r51 , r52 , r53 , r54 , r55 , r56 , r57 , r58 , r59 , r60 , r61 , r62 , r63 , r64 , r65 , r66 , r67 , r68 , r69 , r70 , r71 , r72 , r73 , r74 , r75 , r76 , r77 , r78 , r79 , r80 , r81 , r82 , r83 , r84 , r85 , r86 , r87 , r88 , r89 , r90 , r91 , r92 , r93 , r94 , r95 , r96 , r97 , r98 , r99 , r100 , r101 , r102 , r103 , r104 , r105 , r106 , r107 , r108 , r109 , r110 , r111 , r112 , r113 , r114 , r115 , r116 , r117 , r118 , r119 , r120 , r121 , r122 , r123 , r124 , r125 , r126 , r127 , r128 , r129 , r130 , r131 , r132 , r133 , r134 , r135 , r136 , r137 , r138 , r139 , r140 , r141 , r142 , r143 , r144 , r145 , r146 , r147 , r148 , r149 , r150 , r151 , r152 , r153 , r154 , r155 , r156 , r157 , r158 , r159 , r160 , r161 , r162 , r163 , r164 , r165 , r166 , r167 , r168 , r169 , r170 , r171 , r172 , r173 , r174 , r175 , r176 , r177 , r178 , r179 , r180 , r181 , r182 , r183 , r184 , r185 , r186 , r187 , r188 , r189 , r190 , r191 , r192 , r193 , r194 , r195 , r196 , r197 , r198 , r199 , r200 , r201 , r202 , r203 , r204 , r205 , r206 , r207 , r208 , r209 , r210 , r211 , r212 , r213 , r214 , r215 , r216 , r217 , r218 , r219 , r220 , r221 , r222 , r223 , r224 , r225 , r226 , r227 , r228 , r229 , r230 , r231 , r232 , r233 , r234 , r235 , r236 , r237 , r238 , r239 , r240 , r241 , r242 , r243 , r244 , r245 , r246 , r247 , r248 , r249 , r250 , r251 , r252 , r253 , r254 , r255 , r256 , r257 , r258 , r259 , r260 , r261 , r262 , r263 , r264 , r265 , r266 , r267 , r268 , r269 , r270 , r271 , r272 , r273 , r274 , r275 , r276 , r277 , r278 , r279 , r280 , r281 , r282 , r283 , r284 , r285 , r286 , r287 , r288 , r289 , r290 , r291 , r292 , r293 , r294 , r295 , r296 , r297 , r298 , r299 , r300 , r301 , r302 , r303 , r304 , r305 , r306 , r307 , r308 , r309 , r310 , r311 , r312 , r313 , r314 , r315 , r316 , r317 , r318 , r319 , r320 , r321 , r322 , r323 , r324 , r325 , r326 , r327 , r328 , r329 , r330 , r331 , r332 , r333 , r334 , r335 , r336 , r337 , r338 , r339 , r340 , r341 , r342 , r343 , r344 , r345 , r346 , r347 , r348 , r349 , r350 , r351 , r352 , r353 , r354 , r355 , r356 , r357 , r358 , r359 , r360 , r361 , r362 , r363 , r364 , r365 , r366 , r367 , r368 , r369 , r370 , r371 , r372 , r373 , r374 , r375 , r376 , r377 , r378 , r379 , r380 , r381 , r382 , r383 , r384 , r385 , r386 , r387 , r388 , r389 , r390 , r391 , r392 , r393 , r394 , r395 , r396 , r397 , r398 , r399 , r400 , r401 , r402 , r403 , r404 , r405 , r406 , r407 , r408 , r409 , r410 , r411 , r412 , r413 , r414 , r415 , r416 , r417 , r418 , r419 , r420 , r421 , r422 , r423 , r424 , r425 , r426 , r427 , r428 , r429 , r430 , r431 , r432 , r433 , r434 , r435 , r436 , r437 , r438 , r439 , r440 , r441 , r442 , r443 , r444 , r445 , r446 , r447 , r448 , r449 , r450 , r451 , r452 , r453 , r454 , r455 , r456 , r457 , r458 , r459 , r460 , r461 , r462 , r463 , r464 , r465 , r466 , r467 , r468 , r469 , r470 , r471 , r472 , r473 , r474 , r475 , r476 , r477 , r478 , r479 , r480 , r481 , r482 , r483 , r484 , r485 , r486 , r487 , r488 , r489 , r490 , r491 , r492 , r493 , r494 , r495 , r496 , r497 , r498 , r499 , r500 , r501 , r502 , r503 , r504 , r505 , r506 , r507 , r508 , r509 , r510 , r511 , r512 , r513 , r514 , r515 , r516 , r517 , r518 , r519 , r520 , r521 , r522 , r523 , r524 , r525 , r526 , r527 , r528 , r529 , r530 , r531 , r532 , r533 , r534 , r535 , r536 , r537 , r538 , r539 , r540 , r541 , r542 , r543 , r544 , r545 , r546 , r547 , r548 , r549 , r550 , r551 , r552 , r553 , r554 , r555 , r556 , r557 , r558 , r559 , r560 , r561 , r562 , r563 , r564 , r565 , r566 , r567 , r568 , r569 , r570 , r571 , r572 , r573 , r574 , r575 , r576 , r577 , r578 , r579 , r580 , r581 , r582 , r583 , r584 , r585 , r586 , r587 , r588 , r589 , r590 , r591 , r592 , r593 , r594 , r595 , r596 , r597 , r598 , r599 , r600 , r601 , r602 , r603 , r604 , r605 , r606 , r607 , r608 , r609 , r610 , r611 , r612 , r613 , r614 , r615 , r616 , r617 , r618 , r619 , r620 , r621 , r622 , r623 , r624 , r625 , r626 , r627 , r628 , r629 , r630 , r631 , r632 , r633 , r634 , r635 , r636 , r637 , r638 , r639 , r640 , r641 , r642 , r643 , r644 , r645 , r646 , r647 , r648 , r649 , r650 , r651 , r652 , r653 , r654 , r655 , r656 , r657 , r658 , r659 , r660 , r661 , r662 , r663 , r664 , r665 , r666 , r667 , r668 , r669 , r670 , r671 , r672 , r673 , r674 , r675 , r676 , r677 , r678 , r679 , r680 , r681 , r682 , r683 , r684 , r685 , r686 , r687 , r688 , r689 , r690 , r691 , r692 , r693 , r694 , r695 , r696 , r697 , r698 , r699 , r700 , r701 , r702 , r703 , r704 , r705 , r706 , r707 , r708 , r709 , r710 , r711 , r712 , r713 , r714 , r715 , r716 , r717 , r718 , r719 , r720 , r721 , r722 , r723 , r724 , r725 , r726 , r727 , r728 , r729 , r730 , r731 , r732 , r733 , r734 , r735 , r736 , r737 , r738 , r739 , r740 , r741 , r742 , r743 , r744 , r745 , r746 , r747 , r748 , r749 , r750 , r751 , r752 , r753 , r754 , r755 , r756 , r757 , r758 , r759 , r760 , r761 , r762 , r763 , r764 , r765 , r766 , r767 , r768 , r769 , r770 , r771 , r772 , r773 , r774 , r775 , r776 , r777 , r778 , r779 , r780 , r781 , r782 , r783 , r784 , r785 , r786 , r787 , r788 , r789 , r790 , r791 , r792 , r793 , r794 , r795 , r796 , r797 , r798 , r799 , r800 , r801 , r802 , r803 , r804 , r805 , r806 , r807 , r808 , r809 , r810 , r811 , r812 , r813 , r814 , r815 , r816 , r817 , r818 , r819 , r820 , r821 , r822 , r823 , r824 , r825 , r826 , r827 , r828 , r829 , r830 , r831 , r832 , r833 , r834 , r835 , r836 , r837 , r838 , r839 , r840 , r841 , r842 , r843 , r844 , r845 , r846 , r847 , r848 , r849 , r850 , r851 , r852 , r853 , r854 , r855 , r856 , r857 , r858 , r859 , r860 , r861 , r862 , r863 , r864 , r865 , r866 , r867 , r868 , r869 , r870 , r871 , r872 , r873 , r874 , r875 , r876 , r877 , r878 , r879 , r880 , r881 , r882 , r883 , r884 , r885 , r886 , r887 , r888 , r889 , r890 , r891 , r892 , r893 , r894 , r895 , r896 , r897 , r898 , r899 , r900 , r901 , r902 , r903 , r904 , r905 , r906 , r907 , r908 , r909 , r910 , r911 , r912 , r913 , r914 , r915 , r916 , r917 , r918 , r919 , r920 , r921 , r922 , r923 , r924 , r925 , r926 , r927 , r928 , r929 , r930 , r931 , r932 , r933 , r934 , r935 , r936 , r937 , r938 , r939 , r940 , r941 , r942 , r943 , r944 , r945 , r946 , r947 , r948 , r949 , r950 , r951 , r952 , r953 , r954 , r955 , r956 , r957 , r958 , r959 , r960 , r961 , r962 , r963 , r964 , r965 , r966 , r967 , r968 , r969 , r970 , r971 , r972 , r973 , r974 , r975 , r976 , r977 , r978 , r979 , r980 , r981 , r982 , r983 , r984 , r985 , r986 , r987 , r988 , r989 , r990 , r991 , r992 , r993 , r994 , r995 , r996 , r997 , r998 , r999 , r1000  ;
@End

@PartitionB
h10 (50), h9 (50), h2 (50), h14 (50), h3 (50), h12 (50), h13 (50), h11 (50), h16 (50), h4 (50), h15 (50), h18 (50), h17 (50), h19 (50), h7 (50), h20 (50), h5 (50), h8 (50), h6 (50), h1 (50) ;
@End

@PreferenceListsA
r1 : h11, h3, h12, h8, h16 ;
r191 : h5, h11, h16, h17, h6 ;
r192 : h2, h17, h11, h14, h7 ;
r193 : h4, h3, h14, h17, h11 ;
r194 : h2, h16, h14, h17, h8 ;
r195 : h17, h14, h2, h18, h12 ;
r196 : h4, h15, h3, h17, h2 ;
r197 : h2, h6, h16, h7, h14 ;
r198 : h11, h2, h14, h10, h7 ;
r199 : h4, h7, h2, h17, h11 ;
r200 : h7, h2, h13, h19, h4 ;
r201 : h16, h2, h11, h13, h17 ;
r202 : h16, h13, h7, h2, h5 ;
r203 : h12, h6, h13, h1, h2 ;
r204 : h11, h14, h10, h2, h17 ;
r205 : h6, h17, h11, h18, h2 ;
r206 : h2, h11, h3, h12, h16 ;
r207 : h4, h2, h14, h6, h11 ;
r208 : h17, h16, h2, h6, h18 ;
r209 : h11, h16, h2, h9, h6 ;
r210 : h8, h16, h11, h2, h7 ;
r211 : h3, h17, h2, h5, h10 ;
r212 : h14, h3, h12, h6, h10 ;
r213 : h4, h9, h7, h2, h18 ;
r214 : h17, h16, h6, h2, h12 ;
r215 : h13, h16, h6, h10, h19 ;
r216 : h11, h13, h17, h10, h2 ;
r217 : h6, h16, h11, h9, h7 ;
r218 : h1, h17, h16, h9, h11 ;
r219 : h17, h2, h12, h7, h16 ;
r220 : h15, h17, h16, h11, h2 ;
r221 : h11, h12, h8, h14, h16 ;
r222 : h2, h11, h19, h4, h3 ;
r223 : h7, h3, h11, h16, h6 ;
r224 : h2, h7, h11, h4, h10 ;
r225 : h11, h12, h14, h17, h3 ;
r226 : h16, h14, h12, h7, h17 ;
r227 : h16, h6, h18, h8, h14 ;
r228 : h16, h7, h11, h2, h18 ;
r229 : h19, h10, h11, h2, h14 ;
r230 : h16, h11, h10, h13, h2 ;
r231 : h5, h14, h2, h19, h11 ;
r232 : h2, h11, h16, h7, h3 ;
r233 : h11, h2, h3, h16, h20 ;
r234 : h16, h2, h11, h14, h13 ;
r235 : h9, h5, h19, h2, h14 ;
r236 : h7, h4, h16, h2, h12 ;
r237 : h11, h2, h16, h9, h14 ;
r238 : h14, h16, h12, h2, h4 ;
r239 : h12, h11, h17, h13, h7 ;
r240 : h16, h5, h11, h3, h17 ;
r241 : h16, h13, h2, h11, h17 ;
r242 : h7, h11, h4, h19, h6 ;
r243 : h2, h12, h7, h11, h16 ;
r244 : h7, h11, h5, h2, h20 ;
r245 : h7, h16, h11, h3, h13 ;
r246 : h13, h2, h11, h16, h12 ;
r247 : h11, h17, h10, h3, h16 ;
r248 : h2, h12, h11, h7, h17 ;
r249 : h3, h2, h11, h17, h18 ;
r250 : h7, h16, h11, h17, h2 ;
r251 : h14, h9, h2, h6, h4 ;
r252 : h11, h2, h10, h17, h19 ;
r253 : h7, h2, h11, h3, h17 ;
r254 : h13, h16, h3, h7, h17 ;
r255 : h17, h16, h7, h6, h2 ;
r256 : h11, h16, h17, h2, h4 ;
r257 : h13, h2, h7, h10, h11 ;
r258 : h16, h17, h3, h11, h4 ;
r259 : h2, h11, h16, h6, h7 ;
r260 : h11, h2, h1, h14, h16 ;
r261 : h11, h14, h17, h7, h12 ;
r262 : h1, h8, h11, h2, h4 ;
r263 : h2, h5, h6, h11, h9 ;
r264 : h12, h20, h2, h16, h3 ;
r265 : h3, h16, h7, h14, h19 ;
r266 : h2, h4, h10, h17, h11 ;
r267 : h16, h11, h17, h2, h6 ;
r268 : h13, h14, h16, h2, h3 ;
r269 : h13, h12, h6, h16, h2 ;
r270 : h14, h16, h18, h13, h10 ;
r271 : h16, h17, h11, h2, h4 ;
r272 : h12, h2, h6, h11, h9 ;
r273 : h7, h6, h16, h2, h9 ;
r274 : h7, h16, h3, h12, h17 ;
r275 : h11, h4, h2, h3, h16 ;
r276 : h2, h10, h13, h12, h11 ;
r277 : h2, h12, h3, h9, h7 ;
r278 : h3, h18, h16, h14, h4 ;
r279 : h9, h2, h4, h11, h17 ;
r280 : h2, h7, h17, h16, h19 ;
r281 : h7, h14, h2, h5, h4 ;
r282 : h14, h11, h7, h16, h3 ;
r283 : h17, h16, h11, h7, h9 ;
r284 : h16, h11, h9, h7, h17 ;
r285 : h2, h9, h16, h11, h5 ;
r286 : h17, h2, h12, h16, h19 ;
r287 : h11, h2, h4, h7, h8 ;
r288 : h4, h18, h3, h11, h2 ;
r289 : h16, h18, h11, h2, h3 ;
r290 : h4, h14, h7, h2, h18 ;
r291 : h6, h14, h16, h3, h2 ;
r292 : h2, h14, h16, h19, h3 ;
r293 : h18, h13, h11, h14, h2 ;
r294 : h17, h19, h11, h2, h16 ;
r295 : h15, h11, h13, h9, h7 ;
r296 : h2, h16, h9, h4, h14 ;
r297 : h4, h7, h2, h11, h10 ;
r298 : h3, h11, h12, h14, h17 ;
r299 : h10, h3, h2, h9, h7 ;
r300 : h7, h2, h6, h18, h16 ;
r301 : h11, h6, h2, h9, h17 ;
r302 : h17, h11, h14, h3, h16 ;
r303 : h10, h11, h4, h3, h9 ;
r304 : h17, h11, h7, h4, h2 ;
r305 : h3, h2, h10, h16, h11 ;
r306 : h7, h6, h9, h12, h2 ;
r307 : h2, h14, h16, h3, h11 ;
r308 : h7, h11, h3, h16, h2 ;
r309 : h8, h16, h2, h17, h11 ;
r310 : h10, h11, h2, h6, h3 ;
r311 : h4, h14, h10, h11, h7 ;
r312 : h16, h13, h7, h11, h6 ;
r313 : h11, h7, h3, h16, h18 ;
r314 : h2, h4, h7, h11, h18 ;
r315 : h3, h11, h2, h14, h7 ;
r316 : h11, h14, h19, h2, h1 ;
r317 : h14, h16, h4, h11, h17 ;
r318 : h11, h2, h8, h16, h4 ;
r319 : h2, h4, h17, h11, h18 ;
r320 : h11, h2, h4, h12, h6 ;
r321 : h16, h11, h4, h6, h1 ;
r322 : h17, h2, h14, h19, h3 ;
r323 : h4, h16, h2, h20, h11 ;
r324 : h11, h7, h2, h17, h6 ;
r325 : h10, h18, h5, h11, h16 ;
r326 : h17, h12, h7, h11, h2 ;
r327 : h11, h2, h10, h14, h4 ;
r328 : h6, h11, h17, h7, h2 ;
r329 : h2, h7, h20, h11, h8 ;
r330 : h16, h2, h17, h7, h11 ;
r331 : h16, h8, h6, h7, h2 ;
r332 : h17, h14, h19, h7, h13 ;
r333 : h2, h11, h17, h13, h6 ;
r334 : h14, h11, h2, h16, h10 ;
r335 : h11, h2, h17, h9, h4 ;
r336 : h16, h11, h7, h14, h2 ;
r337 : h16, h4, h2, h11, h10 ;
r338 : h2, h7, h14, h12, h6 ;
r339 : h3, h14, h16, h11, h18 ;
r340 : h2, h6, h12, h17, h3 ;
r341 : h18, h12, h2, h11, h16 ;
r342 : h3, h2, h10, h7, h4 ;
r343 : h14, h2, h12, h17, h10 ;
r344 : h6, h11, h19, h16, h2 ;
r345 : h11, h3, h14, h18, h16 ;
r346 : h11, h18, h7, h2, h6 ;
r347 : h3, h10, h4, h11, h16 ;
r348 : h7, h17, h9, h16, h3 ;
r349 : h16, h2, h10, h11, h17 ;
r350 : h11, h3, h7, h16, h2 ;
r351 : h3, h14, h6, h10, h8 ;
r352 : h16, h2, h14, h11, h3 ;
r353 : h16, h3, h7, h11, h17 ;
r354 : h2, h19, h3, h7, h13 ;
r355 : h4, h16, h7, h11, h17 ;
r356 : h2, h11, h8, h16, h10 ;
r357 : h2, h4, h3, h13, h16 ;
r358 : h7, h10, h12, h16, h11 ;
r359 : h11, h14, h2, h17, h16 ;
r360 : h2, h17, h20, h16, h3 ;
r361 : h11, h18, h13, h17, h16 ;
r362 : h9, h3, h18, h11, h10 ;
r363 : h11, h17, h9, h8, h2 ;
r364 : h4, h11, h17, h10, h7 ;
r365 : h11, h2, h12, h6, h7 ;
r366 : h2, h17, h12, h16, h7 ;
r367 : h9, h7, h2, h11, h17 ;
r368 : h11, h16, h17, h7, h14 ;
r369 : h16, h7, h17, h2, h4 ;
r370 : h2, h16, h17, h11, h14 ;
r371 : h3, h2, h7, h9, h4 ;
r372 : h14, h2, h13, h11, h7 ;
r373 : h16, h4, h7, h2, h11 ;
r374 : h16, h11, h4, h13, h19 ;
r375 : h2, h14, h7, h11, h17 ;
r376 : h17, h2, h11, h7, h3 ;
r377 : h16, h17, h2, h11, h14 ;
r378 : h18, h3, h11, h10, h2 ;
r379 : h11, h16, h7, h14, h17 ;
r380 : h14, h11, h2, h8, h12 ;
r381 : h11, h16, h19, h2, h7 ;
r382 : h16, h2, h7, h4, h11 ;
r383 : h11, h2, h12, h7, h8 ;
r384 : h16, h17, h7, h11, h2 ;
r385 : h2, h11, h4, h17, h16 ;
r386 : h9, h12, h2, h16, h11 ;
r387 : h7, h14, h17, h20, h2 ;
r388 : h3, h7, h4, h2, h12 ;
r389 : h16, h20, h19, h6, h7 ;
r390 : h13, h8, h2, h11, h10 ;
r391 : h2, h17, h9, h4, h6 ;
r392 : h17, h2, h11, h16, h7 ;
r393 : h4, h16, h11, h7, h10 ;
r394 : h11, h7, h2, h13, h17 ;
r395 : h11, h2, h16, h4, h14 ;
r396 : h17, h7, h3, h2, h10 ;
r397 : h2, h4, h12, h11, h14 ;
r398 : h3, h2, h16, h17, h13 ;
r399 : h11, h3, h17, h2, h8 ;
r400 : h6, h16, h2, h17, h11 ;
r401 : h8, h17, h4, h7, h16 ;
r402 : h4, h11, h7, h2, h12 ;
r403 : h11, h10, h8, h14, h16 ;
r404 : h2, h18, h9, h7, h11 ;
r405 : h13, h2, h7, h12, h17 ;
r406 : h11, h16, h6, h2, h9 ;
r407 : h6, h7, h2, h9, h11 ;
r408 : h11, h18, h17, h3, h6 ;
r409 : h20, h17, h16, h2, h6 ;
r410 : h19, h6, h8, h17, h3 ;
r411 : h17, h3, h2, h16, h6 ;
r412 : h12, h11, h16, h17, h20 ;
r413 : h18, h11, h6, h4, h2 ;
r414 : h17, h14, h11, h3, h18 ;
r415 : h11, h2, h6, h20, h7 ;
r416 : h3, h4, h12, h2, h6 ;
r417 : h11, h16, h3, h4, h17 ;
r418 : h16, h4, h2, h7, h11 ;
r419 : h11, h8, h7, h14, h9 ;
r420 : h7, h9, h16, h2, h14 ;
r421 : h17, h12, h4, h6, h3 ;
r422 : h7, h2, h6, h17, h10 ;
r423 : h4, h14, h7, h13, h2 ;
r424 : h16, h3, h11, h10, h14 ;
r425 : h2, h6, h14, h16, h11 ;
r426 : h17, h7, h11, h2, h4 ;
r427 : h12, h14, h2, h13, h17 ;
r428 : h7, h17, h2, h9, h16 ;
r429 : h6, h2, h19, h4, h11 ;
r430 : h4, h13, h17, h11, h12 ;
r431 : h4, h16, h6, h11, h2 ;
r432 : h16, h10, h7, h18, h6 ;
r433 : h2, h1, h11, h3, h18 ;
r434 : h11, h10, h16, h4, h3 ;
r435 : h4, h6, h11, h17, h12 ;
r436 : h3, h6, h12, h7, h11 ;
r437 : h4, h2, h18, h8, h14 ;
r438 : h2, h7, h8, h19, h16 ;
r439 : h2, h16, h17, h11, h3 ;
r440 : h12, h4, h2, h17, h8 ;
r441 : h16, h2, h7, h6, h12 ;
r442 : h14, h17, h4, h9, h18 ;
r443 : h11, h17, h16, h18, h8 ;
r444 : h11, h13, h14, h7, h17 ;
r445 : h11, h16, h17, h2, h9 ;
r446 : h16, h11, h17, h14, h2 ;
r447 : h17, h16, h2, h3, h11 ;
r448 : h13, h12, h3, h18, h11 ;
r449 : h12, h2, h14, h7, h13 ;
r450 : h11, h12, h7, h4, h6 ;
r451 : h16, h2, h14, h4, h17 ;
r452 : h2, h18, h11, h16, h13 ;
r453 : h2, h16, h7, h15, h20 ;
r454 : h17, h11, h6, h16, h2 ;
r455 : h14, h2, h4, h16, h6 ;
r456 : h2, h19, h17, h14, h12 ;
r457 : h18, h4, h2, h13, h17 ;
r458 : h17, h9, h10, h11, h4 ;
r459 : h2, h4, h16, h11, h19 ;
r460 : h17, h16, h12, h2, h7 ;
r461 : h17, h2, h11, h14, h7 ;
r462 : h2, h17, h7, h4, h16 ;
r463 : h2, h17, h3, h18, h11 ;
r464 : h13, h19, h7, h3, h2 ;
r465 : h5, h7, h3, h13, h11 ;
r466 : h3, h6, h7, h11, h8 ;
r467 : h16, h4, h18, h2, h12 ;
r468 : h10, h14, h3, h7, h18 ;
r469 : h2, h1, h16, h17, h7 ;
r470 : h18, h11, h7, h8, h2 ;
r471 : h16, h11, h2, h9, h3 ;
r472 : h19, h11, h17, h2, h16 ;
r473 : h17, h12, h14, h11, h18 ;
r474 : h7, h2, h11, h16, h17 ;
r475 : h16, h17, h9, h14, h12 ;
r476 : h3, h4, h6, h20, h11 ;
r477 : h2, h11, h17, h6, h14 ;
r478 : h7, h11, h16, h14, h2 ;
r479 : h2, h16, h11, h10, h14 ;
r480 : h4, h8, h12, h11, h2 ;
r481 : h11, h17, h16, h7, h6 ;
r482 : h4, h19, h16, h12, h2 ;
r483 : h11, h17, h16, h3, h8 ;
r484 : h12, h2, h3, h17, h7 ;
r485 : h4, h6, h11, h3, h2 ;
r486 : h12, h4, h11, h2, h17 ;
r487 : h14, h5, h11, h9, h4 ;
r488 : h14, h17, h18, h10, h2 ;
r489 : h16, h19, h17, h13, h12 ;
r490 : h3, h12, h2, h11, h9 ;
r491 : h2, h13, h18, h10, h11 ;
r492 : h16, h2, h11, h12, h8 ;
r493 : h12, h13, h9, h4, h7 ;
r494 : h4, h7, h16, h11, h2 ;
r495 : h11, h18, h7, h17, h16 ;
r496 : h16, h3, h17, h2, h18 ;
r497 : h18, h16, h11, h6, h14 ;
r498 : h20, h11, h7, h17, h16 ;
r499 : h9, h12, h11, h19, h17 ;
r500 : h11, h14, h4, h7, h2 ;
r501 : h12, h6, h7, h11, h4 ;
r502 : h2, h11, h18, h12, h6 ;
r503 : h4, h11, h2, h12, h6 ;
r504 : h16, h7, h2, h11, h19 ;
r505 : h3, h7, h16, h2, h11 ;
r506 : h16, h14, h11, h4, h6 ;
r507 : h6, h7, h17, h11, h9 ;
r508 : h8, h11, h2, h14, h17 ;
r509 : h11, h17, h14, h15, h16 ;
r510 : h11, h6, h7, h17, h3 ;
r511 : h14, h7, h2, h17, h16 ;
r512 : h13, h11, h7, h16, h8 ;
r513 : h17, h10, h14, h11, h16 ;
r514 : h2, h17, h6, h4, h13 ;
r515 : h17, h16, h2, h11, h14 ;
r516 : h2, h14, h11, h16, h7 ;
r517 : h18, h3, h2, h4, h8 ;
r518 : h17, h7, h20, h9, h2 ;
r519 : h17, h6, h11, h16, h20 ;
r520 : h7, h2, h12, h16, h4 ;
r521 : h11, h8, h12, h14, h2 ;
r522 : h2, h7, h6, h14, h16 ;
r523 : h2, h14, h11, h12, h7 ;
r524 : h2, h6, h12, h11, h4 ;
r525 : h11, h7, h16, h12, h2 ;
r526 : h4, h16, h14, h11, h10 ;
r527 : h2, h19, h11, h18, h4 ;
r528 : h2, h11, h19, h14, h7 ;
r529 : h16, h14, h2, h19, h18 ;
r530 : h6, h11, h17, h2, h7 ;
r531 : h6, h11, h7, h16, h2 ;
r532 : h2, h10, h11, h17, h19 ;
r533 : h4, h9, h17, h12, h16 ;
r534 : h2, h16, h11, h6, h10 ;
r535 : h12, h11, h6, h10, h17 ;
r536 : h3, h9, h2, h7, h12 ;
r537 : h7, h3, h18, h17, h8 ;
r538 : h11, h17, h7, h14, h2 ;
r539 : h16, h18, h4, h6, h2 ;
r540 : h7, h2, h11, h18, h1 ;
r541 : h6, h2, h13, h4, h16 ;
r542 : h20, h11, h17, h2, h3 ;
r543 : h2, h16, h10, h11, h9 ;
r544 : h2, h12, h7, h17, h5 ;
r545 : h4, h2, h11, h16, h7 ;
r546 : h11, h17, h14, h10, h9 ;
r547 : h3, h19, h2, h11, h12 ;
r548 : h7, h11, h19, h6, h3 ;
r549 : h6, h4, h7, h16, h11 ;
r550 : h2, h13, h4, h17, h7 ;
r551 : h6, h8, h11, h2, h14 ;
r552 : h7, h16, h6, h17, h13 ;
r553 : h2, h12, h11, h9, h6 ;
r554 : h8, h9, h6, h2, h19 ;
r555 : h14, h16, h6, h7, h11 ;
r556 : h7, h12, h17, h6, h14 ;
r557 : h14, h11, h2, h4, h8 ;
r558 : h2, h14, h11, h7, h3 ;
r559 : h13, h14, h9, h7, h11 ;
r560 : h7, h18, h11, h3, h16 ;
r561 : h12, h7, h15, h19, h18 ;
r562 : h3, h2, h14, h16, h7 ;
r563 : h11, h2, h4, h17, h14 ;
r564 : h12, h2, h11, h5, h13 ;
r565 : h11, h2, h12, h9, h16 ;
r566 : h10, h16, h17, h9, h3 ;
r567 : h11, h12, h16, h7, h10 ;
r568 : h19, h3, h7, h17, h11 ;
r569 : h7, h13, h3, h16, h11 ;
r570 : h16, h12, h7, h2, h11 ;
r571 : h6, h4, h11, h17, h3 ;
r572 : h14, h10, h11, h7, h2 ;
r573 : h14, h15, h11, h2, h6 ;
r574 : h7, h14, h2, h11, h16 ;
r575 : h12, h11, h18, h16, h6 ;
r576 : h10, h11, h17, h2, h3 ;
r577 : h16, h11, h2, h8, h17 ;
r578 : h3, h13, h7, h11, h16 ;
r579 : h11, h10, h4, h17, h2 ;
r580 : h17, h2, h13, h6, h18 ;
r581 : h11, h3, h7, h6, h4 ;
r582 : h14, h16, h8, h10, h11 ;
r583 : h10, h2, h11, h4, h14 ;
r584 : h2, h14, h20, h16, h15 ;
r585 : h11, h2, h9, h3, h14 ;
r586 : h3, h14, h11, h9, h2 ;
r587 : h16, h11, h2, h14, h4 ;
r588 : h16, h2, h7, h18, h13 ;
r589 : h2, h6, h17, h12, h19 ;
r590 : h9, h13, h11, h7, h3 ;
r591 : h7, h2, h11, h6, h14 ;
r592 : h6, h18, h2, h7, h11 ;
r593 : h2, h3, h16, h11, h20 ;
r594 : h2, h16, h3, h11, h17 ;
r595 : h16, h2, h14, h17, h12 ;
r596 : h8, h17, h2, h14, h16 ;
r597 : h10, h14, h16, h17, h12 ;
r598 : h6, h19, h2, h16, h18 ;
r599 : h11, h19, h17, h2, h14 ;
r600 : h11, h13, h14, h7, h12 ;
r601 : h10, h17, h2, h14, h7 ;
r602 : h2, h7, h14, h17, h16 ;
r603 : h17, h10, h3, h5, h11 ;
r604 : h11, h17, h5, h14, h6 ;
r605 : h7, h17, h2, h16, h6 ;
r606 : h7, h6, h12, h11, h17 ;
r607 : h17, h4, h16, h6, h2 ;
r608 : h2, h17, h12, h4, h16 ;
r609 : h11, h2, h13, h14, h7 ;
r610 : h11, h6, h9, h17, h2 ;
r611 : h11, h6, h20, h2, h8 ;
r612 : h6, h17, h20, h12, h2 ;
r613 : h16, h17, h13, h3, h2 ;
r614 : h16, h9, h17, h2, h6 ;
r615 : h11, h9, h6, h18, h7 ;
r616 : h14, h6, h17, h11, h18 ;
r617 : h16, h3, h2, h19, h11 ;
r618 : h3, h2, h11, h6, h7 ;
r619 : h12, h2, h11, h10, h16 ;
r620 : h14, h16, h5, h2, h4 ;
r621 : h11, h6, h3, h12, h7 ;
r622 : h14, h9, h16, h2, h11 ;
r623 : h10, h12, h11, h16, h4 ;
r624 : h2, h9, h13, h14, h10 ;
r625 : h14, h2, h16, h7, h3 ;
r626 : h2, h16, h17, h13, h14 ;
r627 : h7, h10, h17, h2, h11 ;
r628 : h11, h19, h12, h6, h2 ;
r629 : h16, h2, h7, h12, h11 ;
r630 : h3, h2, h6, h14, h10 ;
r631 : h2, h14, h3, h6, h11 ;
r632 : h9, h11, h14, h7, h2 ;
r633 : h6, h2, h13, h16, h4 ;
r634 : h11, h7, h3, h6, h12 ;
r635 : h11, h12, h17, h10, h8 ;
r636 : h18, h14, h3, h6, h2 ;
